sha, contributor, date, message
70c2d12, abeauvois, Tue Dec 1 20:40:38 2020, "rename gitreport"
b4c9661, abeauvois, Tue Dec 1 20:39:32 2020, "update readme"
f0affe1, abeauvois, Tue Dec 1 13:46:50 2020, "update readme"
d09f552, abeauvois, Tue Dec 1 13:21:16 2020, "update git-report-result.png"
6587d82, abeauvois, Mon Nov 30 19:58:11 2020, "add AM PM daily split to console report + monthly partition"
3507f03, abeauvois, Mon Nov 23 15:23:52 2020, "fix tests"
78845d5, abeauvois, Mon Nov 23 15:18:42 2020, "add todos in readme"
06b4724, abeauvois, Mon Nov 23 15:08:11 2020, "update readme"
73c107a, abeauvois, Mon Nov 23 15:05:38 2020, "rename index.js to gitReport.js + update readme"
e865bba, abeauvois, Mon Nov 23 14:41:08 2020, "update readme"
73d9344, abeauvois, Mon Nov 23 14:40:23 2020, "Merge branch 'main' of https://github.com/abeauvois/git-report into main"
20d0267, abeauvois, Mon Nov 23 14:36:50 2020, "add yargs + update readme"
317e4f9, abeauvois, Mon Nov 23 14:36:50 2020, "add yargs + update readme"
bc119b6, abeauvois, Mon Nov 23 11:34:47 2020, "clean up"
e216f51, abeauvois, Mon Nov 23 11:34:32 2020, "add how to use in readme"
59f6922, abeauvois, Mon Nov 23 11:33:06 2020, "add eslintrc"
8e077c2, abeauvois, Mon Nov 23 10:19:28 2020, "init"
8a9d4da, abeauvois, Mon Nov 23 10:28:40 2020, "add .gitignore"
